id_registro,fondo_id,originador,tipo_activo_subyacente,fecha_constitucion_fondo,monto_total_emitido_usd,codigo_valor,serie,monto_tramo_usd,saldo_vigente_usd,tasa_cupon_pct,plazo_meses,periodicidad_pago,clasificadora,clasificacion_riesgo,fecha_pago,monto_interes_usd,monto_capital_usd,estado_pago,dias_mora
PAG-0001,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2018-05-01,5989.2,80793.84,Pagado,0
PAG-0002,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2018-05-31,,,Pendiente,0
PAG-0003,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2018-06-30,6112.69,119924.42,Pagado,0
PAG-0004,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2018-07-30,6824.8,92693.61,Pagado con retraso,1
PAG-0005,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2018-08-29,7035.88,85878.99,Pagado,0
PAG-0006,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2018-09-28,6756.13,102968.09,Pagado con retraso,4
PAG-0007,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2018-10-28,6011.76,67216.51,Pagado,0
PAG-0008,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2018-11-27,5918.19,103970.59,Pagado,0
PAG-0009,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2018-12-27,6035.56,105669.69,Pagado con retraso,3
PAG-0010,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2019-01-26,6531.82,120633.96,Pagado con retraso,13
PAG-0011,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2019-02-25,6804.83,120689.8,Pagado,0
PAG-0012,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2019-03-27,5789.57,83727.07,Pagado,0
PAG-0013,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2019-04-26,6982.48,88523.04,Pagado con retraso,2
PAG-0014,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2019-05-26,6514.18,113093.6,Pagado,0
PAG-0015,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2019-06-25,6648.62,83139.61,Pagado,0
PAG-0016,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2019-07-25,6787.21,111148.85,Pagado,0
PAG-0017,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2019-08-24,5809.26,96229.19,Pagado,0
PAG-0018,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2019-09-23,5844.94,102729.62,Pagado,0
PAG-0019,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2019-10-23,6294.09,93820.16,Pagado,0
PAG-0020,FT-001,Cooperativa ACACYPAC,Cuentas por cobrar comerciales,2018-01-31,4425613.05,VTRTFT001A,A,4058124.4,908358.43,8.45,120,Mensual,"MOODY'S, S.A. DE C.V.",N-1,2019-11-22,6220.06,116547.92,Pagado,0
